+----+---------------------------------------------------+------------------+----------------------------+
|    | Model name                                        | Type of system   |   Operating system version |
|----+---------------------------------------------------+------------------+----------------------------|
| 31 | Смартфон Vivo Y35 4/64 ГБ, золотой                | Android          |                         12 |
| 30 | Смартфон Vivo T1 6/128 ГБ, черный                 | Android          |                         12 |
| 21 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 45 | Смартфон Vivo T1 6/128 ГБ, черный                 | Android          |                         12 |
| 23 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 26 | Смартфон Vivo T1 6/128 ГБ, черный                 | Android          |                         12 |
| 27 | Смартфон Vivo T1 6/128 ГБ, черный                 | Android          |                         12 |
| 28 | Смартфон Vivo Y35 4/64 ГБ, золотой                | Android          |                         12 |
| 29 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 73 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 19 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 32 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 33 | Смартфон Vivo T1 6/128 ГБ, черный                 | Android          |                         12 |
| 34 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 86 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 39 | Смартфон Vivo T1 6/128 ГБ, черный                 | Android          |                         12 |
| 40 | Смартфон Vivo Y35 4/64 ГБ, золотой                | Android          |                         12 |
| 80 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 20 | Смартфон Vivo T1 6/128 ГБ, черный                 | Android          |                         12 |
| 22 | Смартфон Vivo T1 6/128 ГБ, черный                 | Android          |                         12 |
| 89 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 11 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
|  2 | Смартфон Vivo T1 6/128 ГБ, голубой                | Android          |                         12 |
| 61 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
|  4 | Смартфон Vivo T1 6/128 ГБ, черный                 | Android          |                         12 |
|  5 | Смартфон Vivo V25 8/256 ГБ, голубой               | Android          |                         12 |
|  6 | Смартфон Vivo T1 6/128 ГБ, голубой                | Android          |                         12 |
|  7 | Смартфон Vivo Y22 4/64 ГБ, синий                  | Android          |                         12 |
|  9 | Смартфон Vivo Y35 4/64 ГБ, золотой                | Android          |                         12 |
|  8 | Смартфон Vivo V25e 8/128 ГБ, золотой              | Android          |                         12 |
| 67 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 14 | Смартфон Vivo Y35 4/64 ГБ, черный                 | Android          |                         12 |
| 46 | Смартфон Vivo Y35 4/64 ГБ, золотой                | Android          |                         12 |
| 65 | Смартфон Tecno Spark Go 2022 2/32 ГБ, синий       | Android          |                         11 |
| 66 | Смартфон Tecno Spark Go 2022 2/32 ГБ, серебристый | Android          |                         11 |
| 70 | Смартфон Tecno Spark Go 2022 2/32 ГБ, зеленый     | Android          |                         11 |
| 72 | Смартфон Tecno Spark Go 2022 2/32 ГБ, серебристый | Android          |                         11 |
| 74 | Смартфон Vivo Y33s 4/128 ГБ, голубой              | Android          |                         11 |
